,time,DRAM,CPU,Iteration
277,3790.723535,6387499,116424560,7
278,3791.014513,18980238,271775987,1
274,3791.31044,6883410,112931994,18
275,3793.03672,5043878,118238661,14
276,3793.25725,6171333,112491184,2
277,3793.801559,6035699,112084283,4
279,3794.288418,6171332,118696425,3
278,3794.491304,6251865,115068223,0
280,3794.889062,5544027,115441216,17
281,3795.733151,5505880,113288031,11
279,3796.402597,6735060,113898384,16
280,3796.716226,5878872,117560493,6
281,3797.058469,5382961,118543837,8
282,3797.596669,5904304,111100939,12
282,3799.163538,6056892,113830567,15
283,3799.760103,6056892,113864475,5
283,3799.823381,6650289,113152398,10
284,3799.936288,6828308,113135444,13
285,3800.49219,5069308,89653863,1
286,3800.683438,5929735,118950738,9
287,3800.722679,6667243,112508138,7
284,3801.308549,5747477,112169053,18
285,3803.037639,5539788,117882622,14
286,3803.258927,6400214,110168457,2
287,3803.803329,6213718,111880832,4
288,3804.488444,6374783,113949246,0
288,3804.886862,5175273,118391249,17
289,3804.899468,7010566,117390951,3
290,3805.731447,5014208,113389757,11
289,3805.857196,5772908,114407009,16
290,3806.715631,6518894,114949544,6
291,3807.057487,5404155,118323432,8
292,3807.595346,5251566,112982856,12
291,3809.162376,6035699,112186008,15
292,3809.761262,6811353,114898682,5
293,3809.827271,6501939,114305284,10
293,3809.937577,6667243,113355848,13
294,3810.47907,6137425,103624132,1
295,3810.682091,5688138,117950439,9
296,3810.723878,6557041,116339790,7
294,3811.308653,5878872,111575657,18
295,3813.036772,6039937,117390951,14
296,3813.375502,6654527,111880832,2
297,3813.825322,6006028,119340685,4
297,3814.292317,6311205,103047688,3
298,3814.490874,6340875,112491184,0
298,3814.889768,5425347,115288628,17
299,3815.734084,5293952,113559299,11
299,3815.858505,5832249,118204753,16
300,3816.716873,4988777,112948948,6
301,3817.058086,5730523,119222005,8
302,3817.593167,5501641,113033718,12
300,3819.162821,5883111,113152398,15
301,3819.759207,6980896,113016764,5
303,3819.904455,6353590,116373698,10
302,3819.935751,6675720,113118490,13
303,3820.47888,5654229,111660427,1
304,3820.682924,6268819,117611355,9
305,3820.724725,6205241,114067925,7
304,3821.31004,7158915,110270182,18
305,3823.039771,7214016,112508138,14
306,3823.380746,5853441,111626520,2
307,3823.801801,6192526,115356445,4
306,3824.291073,6463792,113796658,3
308,3824.48832,5997552,117085775,0
307,3824.889283,5688137,116322836,17
308,3825.730812,4946390,113932292,11
309,3826.212912,7531908,114780002,16
310,3826.71657,6752014,101945665,6
311,3827.059507,5603366,118645562,8
312,3827.592038,5556743,112474230,12
309,3829.161675,6006028,113932291,15
310,3829.759657,6349352,114220513,5
313,3829.825908,7722643,114576552,10
311,3829.9386,5874634,114576551,13
312,3830.477646,6145901,115458171,1
313,3830.683408,5764431,119188097,9
314,3830.723462,6362067,117730035,7
314,3831.310685,6201003,110897488,18
315,3833.037689,6442600,113830566,14
316,3833.257895,6408692,110592312,2
317,3833.796006,5527072,115136041,4
315,3834.291425,7260641,113372803,3
318,3834.491504,6849501,111321343,0
316,3834.890218,5171035,118594699,17
319,3835.857829,5387200,102369520,16
317,3835.869037,5098979,112711589,11
320,3836.716463,6078084,113440619,6
321,3837.058132,6578234,114220513,8
322,3837.593383,5183749,112101237,12
318,3839.163222,6213718,111897787,15
319,3839.758757,5573697,116797553,5
323,3839.825388,6281535,115441216,10
320,3839.935738,6150140,115678576,13
321,3840.478673,6056891,117865668,1
322,3840.684506,6298489,117424859,9
323,3840.723786,6862216,115576850,7
324,3841.307605,6480747,110778809,18
325,3843.039411,6930034,113288032,14
326,3843.794855,5997552,113644070,4
327,3844.151877,6535848,123155382,2
324,3844.292366,6340874,113186306,3
328,3844.491966,6501939,117102729,0
325,3844.889133,5332099,115729438,17
326,3845.732398,5285475,112660725,11
329,3845.860275,5137125,114152697,16
330,3846.715391,5594889,118442112,6
331,3847.057289,6726583,111626520,8
332,3847.593792,5675422,111033121,12
327,3849.163363,6128947,113525390,15
333,3849.824108,6315443,113321940,10
328,3849.937613,7023281,113355848,13
329,3850.232232,6629096,116102431,5
330,3850.477964,5823771,114966499,1
331,3850.682626,6624858,118662516,9
332,3850.723253,6230673,115068224,7
334,3851.307785,5844964,113542345,18
335,3853.03619,5933973,115254720,14
336,3853.817762,4950629,113203261,4
337,3853.924125,7061428,114135742,2
333,3854.288861,8260939,113423666,3
338,3854.490119,6518894,112915039,0
334,3854.891099,5946689,107404921,17
335,3855.734183,5471971,113949246,11
339,3855.858201,6531610,115949842,16
340,3856.702664,6985135,114593506,6
341,3857.059387,6752014,112643771,8
342,3857.595258,5077786,113254124,12
336,3859.163838,6696913,111660428,15
337,3859.759462,6107754,118509928,5
343,3859.824876,5768670,112084283,10
338,3859.937084,6421407,114084880,13
339,3860.477791,6056892,117153591,1
340,3860.684515,6612142,117933486,9
341,3860.724724,6853739,116577148,7
344,3861.448566,5857679,114508735,18
345,3863.038095,6629096,115644667,14
346,3863.482481,5828010,101843940,2
347,3863.794278,5429586,112101236,4
348,3864.487464,6811354,113610162,0
342,3864.578614,7765029,122765435,3
343,3864.891103,6039937,116882324,17
344,3865.732992,6120470,112338596,11
349,3865.858471,6069607,113915338,16
350,3866.990774,6980896,128190782,6
351,3867.059064,6531609,113152398,8
352,3867.594924,4916721,111863878,12
345,3869.164736,6103516,111541748,15
346,3869.759195,6213718,117560493,5
353,3869.824631,5717808,113898383,10
347,3869.935226,6383260,115729438,13
348,3870.478712,5230374,118374295,1
349,3870.682707,5989075,118374294,9
350,3870.722466,6052653,113966200,7
354,3871.307119,6082323,114474826,18
355,3873.038586,6684198,111236572,14
356,3873.316254,6315443,116746690,2
357,3873.7851,5171034,102996827,4
351,3874.256108,6387498,100131565,3
358,3874.490501,6239149,112186008,0
352,3874.892183,6014506,116797553,17
353,3875.736876,6540087,112491184,11
359,3875.857757,6391737,112915039,16
360,3876.71736,5510118,100674099,6
361,3877.058021,6917318,114254422,8
362,3877.595774,5938212,112643771,12
354,3879.165787,5963643,112338596,15
355,3879.760723,5972121,118815104,5
363,3879.824606,6133185,112253825,10
356,3879.936645,5599128,114101834,13
357,3880.524371,6667243,118408203,1
358,3880.681577,5933973,119408502,9
359,3880.727584,6726583,115695530,7
364,3881.306326,5488925,114169651,18
365,3883.036987,6663004,115424262,14
366,3883.258462,7214017,116356744,2
367,3883.795518,6048415,112542046,4
360,3884.486907,7277595,113203260,3
368,3884.490538,6209480,117017958,0
361,3884.889381,5548265,117034912,17
362,3885.733859,6052653,112423367,11
369,3885.858006,6951226,115746392,16
370,3886.717291,5832248,116678874,6
371,3887.058158,6663004,115339491,8
372,3887.594558,4492866,112711589,12
363,3889.162519,6095039,113474528,15
364,3889.758904,5471971,105760363,5
373,3889.824374,5416870,112965902,10
365,3889.936646,6184048,115424262,13
366,3890.477373,7065667,112813314,1
367,3890.684614,6069607,117543538,9
368,3890.724638,6790161,113576253,7
374,3891.624828,6722345,115373399,18
375,3893.036522,5544027,115407308,14
376,3893.258842,6976657,116916233,2
377,3893.796544,5285475,112559001,4
369,3894.336103,6629096,113237169,3
378,3894.491358,6523132,117679172,0
370,3894.890667,5904304,117373997,17
371,3895.73403,5760193,113254123,11
379,3895.861312,6874933,115644667,16
380,3896.716622,5052355,112847222,6
381,3897.081704,6099277,113203261,8
382,3897.593908,5764431,111558702,12
372,3899.16338,5878872,114339193,15
383,3899.823251,6095039,111541748,10
373,3899.845428,6942749,129343668,5
374,3899.936799,7082622,113525390,13
375,3900.480657,7040236,114491780,1
376,3900.684835,6395976,118408203,9
377,3900.724649,6455315,117594401,7
384,3901.310759,6955464,112474230,18
385,3903.038375,5730523,112474230,14
386,3903.259024,7171631,117204454,2
387,3903.792921,5552503,113491482,4
378,3904.289273,6798638,112491184,3
388,3904.492252,5713569,117560492,0
379,3904.94248,5798340,117967393,17
380,3905.733463,5293952,114152697,11
389,3905.859367,6285773,112152100,16
390,3906.715337,5955166,112677680,6
391,3907.057067,6001791,112847222,8
