time,CPU_Consumption,category,pid,mainThreadIndex,itération
4434.491595,117831760,power,71855,0,0
4435.99844,116763645,power,87606,0,16
4436.715631,117916531,power,77791,0,6
4437.062313,115695529,power,79733,0,8
4437.591499,118526883,power,83662,0,12
4439.824119,118747287,power,81735,0,10
4441.310965,119222005,power,89599,0,18
4443.036034,118594700,power,85659,0,14
4443.261107,118357340,power,73894,0,2
4443.833391,116373698,power,75817,0,4
4444.493339,112728542,power,71855,0,0
4445.858127,117458767,power,87606,0,16
4446.716689,107201470,power,77791,0,6
4447.060258,116560194,power,79733,0,8
4447.59374,118086073,power,83662,0,12
4449.822681,118560791,power,81735,0,10
4451.326689,113830566,power,89599,0,18
4453.037522,117136637,power,85659,0,14
4453.259067,115983751,power,73894,0,2
4453.824372,119391547,power,75817,0,4
4454.50219,117933486,power,71855,0,0
4455.856586,105692546,power,87606,0,16
4456.718059,118781196,power,77791,0,6
4457.056734,118289524,power,79733,0,8
4457.592044,114186605,power,83662,0,12
4459.879831,120001899,power,81735,0,10
4461.308673,115949843,power,89599,0,18
4463.036284,118492974,power,85659,0,14
4463.255558,115525988,power,73894,0,2
4463.801098,118187798,power,75817,0,4
4464.490178,118391249,power,71855,0,0
4465.8583,118967692,power,87606,0,16
4466.842804,118882921,power,77791,0,6
4467.056846,120188395,power,79733,0,8
4467.59161,116611056,power,83662,0,12
4469.827773,119628906,power,81735,0,10
4471.315387,117306179,power,89599,0,18
4473.038565,119103326,power,85659,0,14
4473.257709,114898681,power,73894,0,2
4473.825705,114339193,power,75817,0,4
4474.576232,117509630,power,71855,0,0
4475.85967,116661919,power,87606,0,16
4476.717704,117051867,power,77791,0,6
4477.056164,117746989,power,79733,0,8
4477.593286,117475722,power,83662,0,12
4479.822555,118815104,power,81735,0,10
4481.310325,117357043,power,89599,0,18
4483.040445,118526883,power,85659,0,14
4483.257533,115000407,power,73894,0,2
4483.828976,108235677,power,75817,0,4
4484.490643,119103325,power,71855,0,0
4485.861934,116933187,power,87606,0,16
4486.712841,117713080,power,77791,0,6
4487.055077,119340685,power,79733,0,8
4487.602665,119883219,power,83662,0,12
4489.820194,118611654,power,81735,0,10
4491.310825,114729139,power,89599,0,18
4493.037681,116984049,power,85659,0,14
4493.25702,116271973,power,73894,0,2
4493.825473,131547716,power,75817,0,4
4494.500562,118035211,power,71855,0,0
4495.858878,120544434,power,87606,0,16
4496.712471,118882921,power,77791,0,6
4497.055504,118865967,power,79733,0,8
4497.595544,118832059,power,83662,0,12
4499.821033,118747287,power,81735,0,10
4501.308531,117848714,power,89599,0,18
4503.036916,120730930,power,85659,0,14
4503.256374,118086073,power,73894,0,2
4503.898394,118577745,power,75817,0,4
4504.492971,119442410,power,71855,0,0
4505.858161,118018256,power,87606,0,16
4506.714173,118781196,power,77791,0,6
4507.053829,118950738,power,79733,0,8
4507.596971,115797255,power,83662,0,12
4509.827349,121307373,power,81735,0,10
4511.319519,119171143,power,89599,0,18
4513.037306,117713081,power,85659,0,14
4513.261125,119578044,power,73894,0,2
4513.800617,104319255,power,75817,0,4
4514.488788,115203857,power,71855,0,0
4515.856696,119781494,power,87606,0,16
4516.714051,116017659,power,77791,0,6
4517.055716,119255913,power,79733,0,8
4517.643988,112965901,power,83662,0,12
4519.835044,120171441,power,81735,0,10
4521.30974,118153890,power,89599,0,18
4523.039184,118560791,power,85659,0,14
4523.259051,118984646,power,73894,0,2
4523.834075,115424262,power,75817,0,4
4524.498725,118747288,power,71855,0,0
4525.85653,119645861,power,87606,0,16
4526.712292,117933486,power,77791,0,6
4527.054628,118543837,power,79733,0,8
4529.338057,126868354,power,83662,0,12
4529.825889,117492676,power,81735,0,10
4531.310175,118594699,power,89599,0,18
4533.040385,119272867,power,85659,0,14
4533.259316,120663113,power,73894,0,2
4533.828301,116950141,power,75817,0,4
4534.497995,116119384,power,71855,0,0
4535.858043,122155083,power,87606,0,16
4536.716392,118408203,power,77791,0,6
4537.055496,119052463,power,79733,0,8
4537.593546,92230903,power,83662,0,12
4539.826579,119594998,power,81735,0,10
4541.307149,119578044,power,89599,0,18
4543.036186,119815403,power,85659,0,14
4543.259678,118153890,power,73894,0,2
4543.828108,116984049,power,75817,0,4
