time,DRAM_Consumption,category,pid,mainThreadIndex,itération
18353.850551,7332696,power,75817,0,4
18354.248069,6841024,power,71855,0,0
18355.346722,6569756,power,77791,0,6
18355.857674,5967882,power,87606,0,16
18357.055563,6349351,power,79733,0,8
18359.844446,6925795,power,81735,0,10
18360.679089,7870992,power,83662,0,12
18361.324566,6345113,power,89599,0,18
18363.175514,5692376,power,85659,0,14
18363.259175,7171631,power,73894,0,2
18363.876616,7798936,power,75817,0,4
18364.261614,6315443,power,71855,0,0
18365.348158,6251865,power,77791,0,6
18365.857567,6764730,power,87606,0,16
18367.071554,5654229,power,79733,0,8
18369.836856,6209479,power,81735,0,10
18370.679402,7824368,power,83662,0,12
18371.326721,6819831,power,89599,0,18
18373.064842,6480747,power,85659,0,14
18373.25768,6518894,power,73894,0,2
18373.852162,6383261,power,75817,0,4
18374.215382,6946988,power,71855,0,0
18375.356941,6391738,power,77791,0,6
18375.857944,7468330,power,87606,0,16
18377.056919,6311205,power,79733,0,8
18379.822498,6913079,power,81735,0,10
18380.693573,6578234,power,83662,0,12
18381.327182,6133186,power,89599,0,18
18383.068371,5022684,power,85659,0,14
18383.256251,5090501,power,73894,0,2
18383.827925,7328457,power,75817,0,4
18384.230878,6828308,power,71855,0,0
18385.364258,5645752,power,77791,0,6
18385.856025,6128946,power,87606,0,16
18387.054791,6497701,power,79733,0,8
18389.853714,5844964,power,81735,0,10
18390.674941,6620619,power,83662,0,12
18391.307081,6451077,power,89599,0,18
18393.15817,6061131,power,85659,0,14
18393.256643,5374485,power,73894,0,2
18393.8266,6065369,power,75817,0,4
18394.247417,5900065,power,71855,0,0
18395.374119,5789862,power,77791,0,6
18395.863659,5310907,power,87606,0,16
18397.024108,6353590,power,79733,0,8
18399.83676,5828010,power,81735,0,10
18400.678072,6764730,power,83662,0,12
18401.312661,5488925,power,89599,0,18
18403.033311,5861918,power,85659,0,14
18403.537586,6641812,power,73894,0,2
18403.839991,7108052,power,75817,0,4
18404.227373,6056891,power,71855,0,0
18405.372825,6044176,power,77791,0,6
18405.859943,5565219,power,87606,0,16
18407.062663,7260641,power,79733,0,8
18409.836881,6285773,power,81735,0,10
18411.340475,3051758,power,89599,0,18
18412.610596,8243984,power,83662,0,12
18413.0631,5955166,power,85659,0,14
18413.256183,6264580,power,73894,0,2
