time,DRAM,CPU,Iteration
4045.732831,6395976,113220214,11
4049.163324,6684198,118374295,15
4049.758991,6395976,117645264,5
4049.967107,7765029,117441813,13
4050.4791,5993313,119272868,1
4050.722919,5980598,115949843,7
4050.877151,7926093,129513211,9
4054.29013,6468032,117119683,3
4054.889616,4501343,118526882,17
4055.734169,6561279,114508735,11
4059.166424,6434122,115051270,15
4059.759539,5268520,119391547,5
4059.935606,5696614,106268989,13
4060.483053,5980598,117187500,1
4060.687793,7010566,104217529,9
4060.722848,6323920,118018256,7
4064.291205,6658766,116051568,3
4064.888862,5722046,119391548,17
4065.732812,6455316,115932889,11
4069.164836,5700853,102606879,15
4069.75909,5853441,119391547,5
4070.47882,6629096,117848714,1
4070.686805,6879171,118103028,9
4070.724131,5938212,115525987,7
4071.822976,7502238,139482286,13
4074.287285,6506178,115407308,3
4074.889128,6179810,117136637,17
4075.737614,6455315,116170247,11
4079.163864,7112292,114712185,15
4079.757179,5755955,119900174,5
4079.937581,5094740,94146728,13
4080.478288,5391439,118204752,1
4080.683608,5959405,118136935,9
4080.721882,5976359,119391548,7
4084.289274,6841023,115593804,3
4084.891194,5895826,119323731,17
4085.732719,7256402,114322239,11
4089.267806,7883707,127868653,15
4089.756639,5772908,118306478,5
4089.935867,6035699,119561090,13
4090.478329,5149841,118255616,1
4090.682737,5649990,118272570,9
4090.720798,5963644,119154188,7
4094.288367,6400215,118374295,3
4094.891184,8595785,119544135,17
4095.733038,5984836,117543538,11
4099.161685,5238851,103793674,15
4099.755384,5654229,119917128,5
4099.952477,6128947,120001899,13
4100.479613,6285774,117865668,1
4100.681288,5730523,118933784,9
4101.820057,7434421,129140218,7
4104.290161,6273058,118221707,3
4104.891196,6374783,114627414,17
4105.732755,6264581,117967394,11
4109.291381,5713569,115017361,15
4109.766933,6747776,119561089,5
4110.061005,6264581,120001899,13
4110.477028,6497701,119340685,1
4110.681414,5086263,119340684,9
4110.722541,6438361,105743408,7
4114.28845,5730523,105743408,3
4114.89109,6145901,114915636,17
4115.734304,5980598,118238661,11
4119.161572,6086561,115559896,15
4119.759562,8176168,120578342,5
4119.942018,7120768,115983751,13
4120.480478,6116231,118391249,1
4120.680401,4993015,119222005,9
4120.72418,6586711,116034614,7
4124.290265,5374484,118899875,3
4125.007056,6527371,116373698,17
4125.734986,6887647,115407308,11
4129.161567,5700854,119171142,15
4129.760436,5467733,120697022,5
4129.939421,6056891,117628309,13
4130.477828,6171332,119561089,1
4130.680974,5166796,117882623,9
4130.722668,6366306,119137234,7
4134.291981,6637573,118391249,3
4134.894501,6709628,115034315,17
4135.736184,7184347,116170247,11
4139.167169,6730821,115186903,15
4139.760039,6705390,117187500,5
4139.969156,5955167,118425157,13
4140.478557,5955167,118916829,1
4140.686018,6145901,119272868,9
4140.722919,6752014,118442112,7
4144.292972,6675721,119272868,3
4144.889982,6281535,112931993,17
4145.733825,6201002,118849013,11
4149.164011,7336934,118526883,15
4149.938006,6298489,117340088,13
4150.121844,6637573,118323432,5
4150.479185,6243388,118967693,1
4150.717251,5679660,118679470,9
4150.723862,6824069,111897786,7
4154.891801,6184048,112084283,17
4155.278013,7141961,129631890,3
4155.732626,6802877,115152994,11
4159.162394,6993612,115085178,15
4159.761782,7137722,118374294,5
4159.93769,6188286,114813911,13
4160.476254,5692376,118832058,1
4160.683452,5972121,118594700,9
4160.72564,6446839,117899577,7
4164.618847,5391438,118119982,3
4164.888529,5035401,103047689,17
4165.731847,5624559,119510227,11
4169.165742,6234911,114373101,15
4169.760415,6137424,116407607,5
4169.938571,5844964,117763943,13
4170.479461,6006029,119628906,1
4170.684134,5917019,117831760,9
4170.72379,6675720,119306776,7
4174.287815,5476210,106285943,3
4174.889621,5832248,112660726,17
4175.731634,6052653,118442112,11
4179.161722,5904303,118119982,15
4179.758007,5700853,118476020,5
4179.935888,6277297,117679172,13
4180.478158,5984836,118374295,1
4180.682081,5565219,119679769,9
4180.724281,6120470,118272570,7
4184.289537,6209480,118628608,3
4184.893067,6726583,113711887,17
4185.73201,6162856,117492676,11
4189.162132,6222195,118289523,15
4189.757949,6095039,118255615,5
4189.93924,5217658,115848118,13
4190.482277,6205241,119713677,1
4190.681691,5353292,119611952,9
4190.72224,6468031,118170844,7
4194.509412,6209479,119001600,3
4194.890051,5997552,113118489,17
4195.73164,5717807,115271674,11
4199.163799,6472270,115288629,15
4199.757582,5251567,107048882,5
4199.935121,5751716,119866265,13
4200.478396,6290012,119272868,1
4200.707576,5234613,119374593,9
4200.721803,6116231,119510227,7
4204.3492,5366008,118069119,3
4204.893247,6887647,113169353,17
4205.729926,5488926,115288628,11
4209.162011,6523132,116509331,15
4209.759724,5645752,118001302,5
4209.935833,6124708,117051866,13
4210.479094,6061130,118730333,1
4210.681358,5641513,118628608,9
4210.72096,6582472,119238959,7
4214.295796,7205539,127868652,3
4214.891401,7125007,112965901,17
4215.731133,5514356,118696425,11
4219.161895,6345114,118645562,15
4219.75817,6095038,119391548,5
4219.940217,5607605,116407606,13
4220.481155,5950927,119679769,1
4220.682769,6196764,118221706,9
4220.720505,5751716,116000706,7
4224.292036,5319383,103878445,3
4224.890866,6167094,114118788,17
4225.734031,5484687,117221408,11
4229.161341,6366305,117272271,15
4229.757153,5641513,119611952,5
4229.939311,6298489,116967096,13
4230.475818,5692376,119425456,1
4230.690406,6667243,117763944,9
4230.721457,6188287,118882921,7
4234.29193,7735359,115525988,3
4234.896889,6904602,113084581,17
4235.73264,5768670,118679471,11
4239.163316,6459555,115339492,15
4239.757691,6056892,116611057,5
4239.940322,6548564,118984646,13
4240.47705,5671184,118849012,1
4240.68356,6785922,117713080,9
4240.723028,6557040,118103027,7
4244.292527,7408989,114847819,3
4244.890655,7103814,113542345,17
4245.732957,6056892,118594699,11
4249.161293,5929735,118611653,15
4249.893966,5442301,118764241,5
4249.975725,7286071,117017958,13
4250.479196,6082323,118526883,1
4250.682011,5128649,119408502,9
4250.720864,5955167,117475721,7
4254.291251,7379320,113898383,3
4254.894315,6523133,118832059,17
4255.732652,6294250,117051867,11
4259.160798,6124708,119086372,15
4259.756281,5883111,118916830,5
4259.93963,7341173,116034614,13
4260.481887,5569458,119611952,1
4260.68174,5586412,117068820,9
4260.726023,6544325,119154189,7
4264.287781,6001791,118916830,3
4264.905071,5416870,118950737,17
4265.730229,5688138,118967692,11
4269.159871,5094740,115203857,15
4269.75767,5425348,118764241,5
4269.991908,6205241,119272867,13
4270.476638,5785624,119238959,1
4270.685169,6446839,116034614,9
4270.722249,6349352,117797851,7
4274.294718,6438361,117814805,3
4275.083813,8443196,119510227,17
4275.736998,7061428,119476318,11
4279.159412,5645752,118340386,15
4279.764981,6641811,120188395,5
4279.935308,6048415,119323731,13
4280.478419,4531012,106879341,1
4280.683653,5035400,117950439,9
4280.724344,7277594,105556912,7
4284.289559,5590651,116611057,3
4284.891123,6692675,118543837,17
4285.731982,5823771,118001302,11
4289.169712,8108351,116441515,15
4289.759351,6701152,119476319,5
4289.943781,4971822,119408501,13
4290.476811,5654229,119391547,1
4290.684122,5221897,117001004,9
4290.722828,7281833,113084581,7
4294.307966,7748074,120832655,3
4294.889382,5828009,113271078,17
4295.730462,5145603,118950738,11
4299.197006,5802578,116051568,15
4299.758493,5887349,119578043,5
4299.93542,6086561,118645562,13
4300.486873,6078085,119154188,1
4300.722408,6133186,118374295,7
4300.795812,4840427,119510227,9
4304.293597,6455315,117967394,3
4304.892688,6938511,120374891,17
4305.732004,5785624,119052463,11
4309.160061,5938212,117136637,15
4309.75695,5251567,119662815,5
4309.936326,6764730,117526585,13
4310.476153,6128947,119052463,1
4310.683957,5743238,116814507,9
4310.729043,6790161,118052165,7
4314.289001,5162557,116763645,3
4314.888716,6425646,119611952,17
4315.737977,9502835,118849013,11
4319.163886,6518894,117238363,15
4319.758002,5616082,119340685,5
4319.936966,6179810,119374593,13
4320.4802,6006029,119137235,1
4320.6829,5514357,116255019,9
4320.720388,5616082,118594699,7
4324.288557,5840726,118035210,3
4324.887973,5777147,114542643,17
4325.731747,5260044,105285644,11
4329.162087,6557041,117357042,15
4329.759165,5755954,119561089,5
4329.943317,6730821,118170844,13
4330.47975,6891886,119408501,1
4330.68313,5285475,116441514,9
4330.723615,8129544,121188694,7
4334.289363,6251865,116390652,3
4334.896983,7082621,118645562,17
4335.731694,5628798,118933784,11
4339.160401,5616082,117051867,15
4339.757853,5577935,114644368,5
4339.936742,6531609,118832058,13
4340.480589,6730821,118916830,1
4340.685774,6061130,115509034,9
4340.723354,6222195,117323134,7
4344.302526,6421407,115780301,3
4344.888845,7531908,118442112,17
4345.73019,5204942,119238959,11
4349.164545,7976956,122545030,15
4349.937478,5391439,119798449,13
4350.111778,5675422,114525689,5
4350.481017,6251865,119238959,1
4350.717073,6773207,116221110,9
4350.720912,5209181,116492377,7
4354.293833,6752014,113881429,3
4354.889458,5573696,116475423,17
4355.741795,7091098,116695828,11
4359.163047,5739000,118001302,15
4359.759078,5688138,118798150,5
4359.935931,6001791,118001302,13
4360.475581,5649991,119781494,1
4360.692281,6544325,117323133,9
4360.722176,5925496,118153890,7
4364.455397,7235209,114949544,3
4364.89149,6056892,113508436,17
4365.73199,6616381,118289524,11
4369.159759,5628798,116678874,15
4369.758399,5959405,116271973,5
4370.054019,6014506,119764540,13
4370.475181,5675422,119086372,1
4370.697726,8731418,104031033,9
4370.723092,6476509,116238064,7
4374.289021,6701151,115136041,3
4374.889294,6841024,115627713,17
4375.731893,5730523,118577745,11
4379.159608,5772908,118323432,15
4379.761069,5560980,113610162,5
4379.939116,6925794,109592014,13
4380.484576,6061130,118764241,1
4380.689894,7845561,116984050,9
4380.724312,6383260,115390354,7
4384.286936,5488926,116695828,3
4384.888056,5243089,113338894,17
4385.730585,5683899,114508735,11
4389.159653,5416870,118136936,15
4389.764713,7353889,114847819,5
4389.938499,6743537,119781494,13
4390.481777,7239447,119154189,1
4390.690108,7951525,115458170,9
4390.721905,6548563,118035210,7
4394.290814,8438958,120544433,3
4394.887296,5527072,115169949,17
4395.733324,5976359,117543538,11
4399.161647,7052952,104014078,15
4399.757965,7239448,117238362,5
4399.935089,5785625,118306478,13
4400.481222,6497701,118170844,1
4400.687122,6756252,118899876,9
4400.724344,6696913,118408203,7
4404.565928,6281535,116322836,3
4404.888724,5649991,116848416,17
4405.73409,5984836,114474827,11
4409.161016,6336636,116458469,15
4409.756557,6090800,118391249,5
4410.320059,7582770,128750271,13
4410.477501,5654230,118849012,1
4410.685527,6582472,116543240,9
4410.724131,6785923,116712783,7
4414.558164,6667243,114288330,3
4414.88919,4848904,117102729,17
4415.732822,5819533,116950141,11
4419.159471,6226433,117831760,15
4419.759088,6773207,116933187,5
4419.938675,5620321,105658637,13
